Confirmed Category,Obesity,Meat,Fruits - Excluding Wine,"Fish, Seafood",Animal Products,Vegetal Products
Sangat Tidak Banyak,10.618750000000004,2.7686969696969697,5.155442424242423,1.5808515151515152,7.8509484848484865,42.146072727272724
Tidak Banyak,16.584374999999998,3.3667093749999997,5.322006250000001,1.5527218750000003,11.11295625,38.88359687500001
Sedang,18.84375,3.04593125,5.660731250000001,1.0768718749999997,12.691846875000003,37.304596875
Cukup Banyak,22.493750000000002,3.4857499999999995,6.143521874999999,0.9659343750000001,14.751815624999999,35.24413125
Sangat Banyak,23.921875,4.071384375,5.857996875000002,1.3854406250000002,15.261809375000004,34.734503124999996
